Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ejemplo2D:md1,,,Ejemplo2D:md2,,,Ejemplo2D:md3,,,Ejemplo2D:md4,,,Ejemplo2D:pd1,,,Ejemplo2D:pd2,,,Ejemplo2D:pd3,,,Ejemplo2D:pd4,,
Time,Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
2.44,62,0,10.76284377,860.0135803,0,-52.8904333,867.7133522,0,-3.253824519,739.7193178,0,-67.36495597,746.9776802,0,-184.0107265,567.6943064,0,-155.5852777,625.1662129,0,-292.8009706,620.9095239,0,-264.6395894,678.9599986
2.48,63,0,17.35488618,861.6636847,0,-46.62263458,865.8948792,0,9.892471696,740.7856928,0,-54.51825327,744.5512618,0,-161.5000348,557.4557515,0,-137.0533166,616.729558,0,-273.660834,603.140888,0,-249.5169606,662.9739422
2.52,64,0,23.84757597,863.6693883,0,-40.26532039,864.4195145,0,22.9614451,742.5645109,0,-41.55872644,742.8261701,0,-138.3473568,548.4422536,0,-117.9928136,609.2429012,0,-253.358231,586.3853081,0,-233.3439044,647.7232876
2.56,65,0,30.22174608,866.0247701,0,-33.83725816,863.2916135,0,35.91451475,745.050521,0,-28.52463331,741.807498,0,-114.6195897,540.6950124,0,-98.4516765,602.7403568,0,-231.946833,570.7199109,0,-216.1549295,633.278178
2.6,66,0,36.4585793,868.7228767,0,-27.35742418,862.5145058,0,48.7134419,748.2363841,0,-15.45445182,741.4982526,0,-90.38632519,534.2515545,0,-78.48006895,597.2536754,0,-209.4854829,556.2189669,0,-197.9892844,619.7072211
2.64,67,0,42.53966389,871.7557431,0,-20.84494757,862.0904856,0,61.32044282,752.1126952,0,-2.386766483,741.8993469,0,-65.71964628,529.1455545,0,-58.13029769,592.8120917,0,-186.0380408,542.9535416,0,-178.8908952,607.0771668
2.68,68,0,48.44704785,875.1144158,0,-14.31905381,862.0208047,0,73.69830037,756.668011,0,10.63984559,743.0095967,0,-40.69391158,525.4066678,0,-37.45668889,589.4421779,0,-161.6732077,530.9911537,0,-158.9082813,595.4525855
2.72,69,0,54.16329201,878.7889798,0,-7.799008003,862.3056686,0,85.81047387,761.8888838,0,23.58692853,744.8257245,0,-15.38552895,523.060375,0,-16.51545442,587.1677025,0,-136.4643244,520.3954451,0,-138.0944477,584.8955513
2.76,70,0,59.67152143,882.7685874,0,-1.304057984,862.9442366,0,97.62120696,767.759901,0,36.41626123,747.3423689,0,10.12728193,522.1278402,0,4.635451697,586.0094962,0,-110.489149,511.2258611,0,-116.5067575,575.4653302
2.8,71,0,64.95547526,887.0414903,0,5.146622504,863.9346234,0,109.0956332,774.2637309,0,49.08997022,750.5521005,0,35.76473671,522.6257821,0,25.93648644,585.9853249,0,-83.8296114,503.5373441,0,-94.20678047,567.218074
2.84,72,0,69.99955474,891.5950747,0,11.5339904,865.2739053,0,120.1998788,781.3811734,0,61.57064143,754.445444,0,61.44574263,524.5663596,0,47.32668014,587.1097705,0,-56.57154729,497.3800424,0,-71.26012187,560.2065239
2.88,73,0,74.78886924,896.4158977,0,17.83918955,866.9581287,0,130.9011631,789.0912172,0,73.82143065,759.0109056,0,87.08816302,527.9570734,0,68.74380756,589.3941208,0,-28.80441166,492.7990345,0,-47.73622969,554.4797224
2.92,74,0,79.30928022,901.4897278,0,24.04360638,868.9823215,0,141.1678947,797.3711013,0,85.80617234,764.2350078,0,112.6090891,532.8006816,0,90.12456735,592.8462681,0,-0.620972959,489.8340713,0,-23.70818169,550.0827376
2.96,75,0,83.54744298,906.8015867,0,30.12892481,871.3405082,0,150.9697652,806.1963829,0,97.48948631,770.1023284,0,137.9251183,539.0951332,0,111.4047692,597.4706183,0,27.88301084,488.5193372,0,0.747547178,547.0563991
3,76,0,87.49084602,912.335793,0,36.07718039,874.0257271,0,160.2778385,815.5410087,0,108.8368823,776.5955466,0,160.5687281,549.4515811,0,131.7145903,606.7094618,0,52.65690983,494.4768956,0,23.18163899,551.8714024
3.04,77,0,91.12784802,918.0760094,0,41.87081324,877.0300511,0,169.0646363,825.3773924,0,119.8148615,783.6954936,0,182.6200465,560.91501,0,151.4434864,616.9422201,0,77.05198707,501.56384,0,45.24921622,557.7021047
3.08,78,0,94.44771219,924.0052902,0,47.49272,880.3446113,0,177.3042189,835.6764961,0,130.391016,791.3812098,0,203.9672598,573.5095149,0,170.5206666,628.2119059,0,100.9203563,509.8815945,0,66.84352707,564.6692821
3.12,79,0,97.44063796,930.1061313,0,52.92630421,883.9596227,0,184.9722624,846.4079158,0,140.5341238,799.6300061,0,224.5520519,587.1932201,0,188.8916295,640.4788696,0,124.1994652,519.39547,0,87.90584051,572.7405148
3.16,80,0,100.0977899,936.3605227,0,58.15552541,887.8644134,0,192.0461299,857.5399713,0,150.2142415,808.4175313,0,244.3185465,601.9212309,0,206.5042189,653.7005975,0,146.8289097,530.067579,0,108.3794775,581.8803397
3.2,81,0,102.4113238,942.7500007,0,63.16494639,892.0474561,0,198.5049387,869.0397995,0,159.4027924,817.7178436,0,263.2134628,617.6457743,0,223.3087735,667.8318475,0,168.7505982,541.856964,0,128.2099693,592.050374
3.24,82,0,104.37441,949.2557028,0,67.93977884,896.496402,0,204.3296216,880.8734519,0,168.0726509,827.5034877,0,281.1862651,634.3163467,0,239.2582701,682.8247935,0,189.9089086,554.7197339,0,147.3452077,603.209448
3.28,83,0,105.9812531,955.8584237,0,72.46592697,901.1981174,0,209.5029836,893.0059943,0,176.1982227,837.7455753,0,298.1893025,651.8798702,0,254.308458,698.6291767,0,210.2508373,568.6092097,0,165.7355887,615.3137453
3.32,84,0,107.2271097,962.5386714,0,76.73002915,906.1387224,0,214.0097525,905.4016102,0,183.7555205,848.4138708,0,314.177941,670.2808556,0,268.4179847,715.1924639,0,229.7261395,583.4760759,0,183.3341469,628.3169504
3.36,85,0,108.1083018,969.2767252,0,80.7194973,911.3036317,0,217.8366237,918.0237065,0,190.7222341,859.4768802,0,329.1106857,689.4615723,0,281.5485128,732.4600128,0,248.2874612,599.2685408,0,200.0966821,642.1704034
3.4,86,0,108.622228,976.0526936,0,84.42255413,916.6775982,0,220.9723001,930.8350216,0,197.0777973,870.9019444,0,342.9492936,709.3622248,0,293.664828,750.3752425,0,265.890462,615.9325024,0,215.9818765,656.8232605
3.44,87,0,108.7673712,982.8465733,0,87.82826782,922.2447571,0,223.4075248,943.7977351,0,202.8034477,882.6553356,0,355.658877,729.921134,0,304.7349365,768.8798103,0,282.4939284,633.4117206,0,230.9514032,672.2226611
3.48,88,0,108.543303,989.638308,0,90.92658438,927.9886738,0,225.1351086,956.8735797,0,207.8822827,894.7023565,0,367.207996,751.0749247,0,314.7301537,787.9137932,0,298.0598774,651.6479954,0,244.9700249,688.3139001
